"filename", "language", "PostCSS", "JavaScript JSX", "XML", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\General\Design Elements\instagram logo clicked.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\General\Design Elements\instagram logo.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\General\Design Elements\menuIcon activated.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\General\Design Elements\menuIcon.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\General\Design Elements\quit icon activated.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\General\Design Elements\quit icon.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\General\Design styles\PlainContentPage.css", "PostCSS", 60, 0, 0, 0, 0, 0, 6, 66
"c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\General\Design styles\PlainContentPage2.css", "PostCSS", 40, 0, 0, 0, 0, 0, 5, 45
"c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\General\Design styles\PlainContentPage3.css", "PostCSS", 29, 0, 0, 0, 0, 0, 5, 34
"c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Ajalugu\Ajalugu.jsx", "JavaScript JSX", 0, 95, 0, 0, 0, 2, 38, 135
"c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Dokumendid\Components\DokumendidSisu.css", "PostCSS", 9, 0, 0, 0, 0, 0, 1, 10
"c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Dokumendid\Components\DokumendidSisu.jsx", "JavaScript JSX", 0, 60, 0, 0, 0, 1, 20, 81
"c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Dokumendid\Design elements\file icon Clicked.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Dokumendid\Design elements\file icon.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Dokumendid\Dokumendid.jsx", "JavaScript JSX", 0, 25, 0, 0, 0, 2, 12, 39
"c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Error404\Content\flag.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Error404\Error404.css", "PostCSS", 84, 0, 0, 0, 0, 1, 20, 105
"c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Error404\Error404.jsx", "JavaScript JSX", 0, 61, 0, 0, 0, 1, 24, 86
"c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Esileht\Components\KalendriPointTile.css", "PostCSS", 73, 0, 0, 0, 0, 1, 12, 86
"c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Esileht\Components\KalendriPointTile.jsx", "JavaScript JSX", 0, 35, 0, 0, 0, 4, 21, 60
"c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Esileht\Components\KalendriPoints.css", "PostCSS", 120, 0, 0, 0, 0, 2, 20, 142
"c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Esileht\Components\KalendriPoints.jsx", "JavaScript JSX", 0, 163, 0, 0, 0, 8, 35, 206
"c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Esileht\Components\TopBanner.css", "PostCSS", 177, 0, 0, 0, 0, 1, 42, 220
"c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Esileht\Components\TopBanner.jsx", "JavaScript JSX", 0, 73, 0, 0, 0, 1, 17, 91
"c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Esileht\Design elements\Eesti Liputoimkondade Liit.html", "HTML", 0, 0, 0, 0, 3424, 7, 691, 4122
"c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Esileht\Design elements\Eesti Liputoimkondade Liit_files\index.css", "PostCSS", 30, 0, 0, 0, 0, 0, 12, 42
"c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Esileht\Design elements\Eesti Liputoimkondade Liit_files\main.jsx", "JavaScript JSX", 0, 16, 0, 0, 0, 1, 1, 18
"c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Esileht\Design elements\FlagIcon.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Esileht\Design elements\arrow right black.svg", "XML", 0, 0, 5, 0, 0, 0, 0, 5
"c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Esileht\Design elements\arrow right yellow.svg", "XML", 0, 0, 5, 0, 0, 0, 0, 5
"c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Esileht\Design elements\gmail logo clicked.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Esileht\Design elements\gmail logo.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Esileht\Design elements\instagram logo clicked.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Esileht\Design elements\instagram logo.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Esileht\Design elements\plus.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Esileht\Esileht.css", "PostCSS", 48, 0, 0, 0, 0, 0, 11, 59
"c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Esileht\Esileht.jsx", "JavaScript JSX", 0, 111, 0, 0, 0, 2, 42, 155
"c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\GaleriiLeht\Components\PildidGaleriiGrid.css", "PostCSS", 64, 0, 0, 0, 0, 1, 16, 81
"c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\GaleriiLeht\Components\PildidGaleriiGrid.jsx", "JavaScript JSX", 0, 79, 0, 0, 0, 1, 20, 100
"c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\GaleriiLeht\Components\PildidGaleriiTile.css", "PostCSS", 38, 0, 0, 0, 0, 1, 11, 50
